iso_code,location,new_cases,new_deaths,total_cases,total_deaths,hospital_beds_per_thousand,life_expectancy,human_development_index,population,cases_per_million,deaths_per_million
IND,India,601.0,23.0,1998.0,58.0,0.53,69.66,0.645,1417173120.0,1.4098489251616626,0.04092654537506328
IND,India,545.0,14.0,2543.0,72.0,0.53,69.66,0.645,1417173120.0,1.7944173256687228,0.05080536667249235
IND,India,24.0,0.0,2567.0,72.0,0.53,69.66,0.645,1417173120.0,1.8113524478928869,0.05080536667249235
IND,India,515.0,14.0,3082.0,86.0,0.53,69.66,0.645,1417173120.0,2.1747519456197417,0.060684187969921415
IND,India,506.0,13.0,3588.0,99.0,0.53,69.66,0.645,1417173120.0,2.5318007725125353,0.06985737917467698
IND,India,1190.0,37.0,4778.0,136.0,0.53,69.66,0.645,1417173120.0,3.371500582794006,0.09596569260359666
IND,India,533.0,14.0,5311.0,150.0,0.53,69.66,0.645,1417173120.0,3.747601422188984,0.10584451390102573
IND,India,605.0,28.0,5916.0,178.0,0.53,69.66,0.645,1417173120.0,4.174507628256455,0.12560215649588385
IND,India,809.0,48.0,6725.0,226.0,0.53,69.66,0.645,1417173120.0,4.74536237322932,0.15947240094421208
IND,India,873.0,20.0,7598.0,246.0,0.53,69.66,0.645,1417173120.0,5.36137744413329,0.1735850027976822
IND,India,848.0,42.0,8446.0,288.0,0.53,69.66,0.645,1417173120.0,5.959751762720422,0.2032214666899694
IND,India,759.0,43.0,9205.0,331.0,0.53,69.66,0.645,1417173120.0,6.495325003059612,0.23356356067493012
IND,India,1248.0,27.0,10453.0,358.0,0.53,69.66,0.645,1417173120.0,7.375951358716146,0.25261557317711475
IND,India,1034.0,35.0,11487.0,393.0,0.53,69.66,0.645,1417173120.0,8.10557287454055,0.2773126264206874
IND,India,835.0,12.0,12322.0,405.0,0.53,69.66,0.645,1417173120.0,8.694774001922926,0.28578018753276946
IND,India,1108.0,43.0,13430.0,448.0,0.53,69.66,0.645,1417173120.0,9.47661214460517,0.3161222815177302
IND,India,922.0,38.0,14352.0,486.0,0.53,69.66,0.645,1417173120.0,10.127203090050141,0.34293622503932336
